     Year     JDT  DOY  Time
480  2007  6220.0   11    30
1274  2009  6967.54   27  1330
1275  2009  6967.56   27  1400
1276  2009  6967.58   27  1430
1277  2009  6967.60   27  1500
1278  2009  6967.63   27  1530
1279  2009  6967.65   27  1600
1280  2009  6967.67   27  1630
1281  2009  6967.69   27  1700
1282  2009  6967.71   27  1730
1283  2009  6967.73   27  1800
1284  2009  6967.75   27  1830
1285  2009  6967.77   27  1900
1286  2009  6967.79   27  1930
1287  2009  6967.81   27  2000
1288  2009  6967.83   27  2030
1289  2009  6967.85   27  2100
1290  2009  6967.88   27  2130
1291  2009  6967.90   27  2200
1292  2009  6967.92   27  2230
1293  2009  6967.94   27  2300
1294  2009  6967.96   27  2330
1295  2009  6967.98   27  2400
